ID_firm_anonym,weights1_all_sample,weights2_3600,weights2_all,lis_e34
F0315,3.22580647468567,4.91215658187866,4.13615655899048,60000
F0317,2.26244354248047,3.62096166610718,2.86622452735901,89600
F0323,3.61842107772827,5.79115629196167,4.58407354354858,100000
F0326,4.07239818572998,6.51773071289063,5.15920352935791,30000
F0328,4.87295532226563,7.79899454116821,6.17340660095215,10000
F0338,5.87044525146484,9.39544296264648,7.43709850311279,30000
F0341,20,32.0093002319336,25.337423324585,35000
F0343,3.6199095249176,5.79353857040405,4.58595895767212,60000
F0345,4.12563180923462,6.60293006896973,5.22664451599121,37915
F0350,4.87295532226563,7.79899454116821,6.17340660095215,50000
F0351,6.12190580368042,9.79789638519287,7.75566625595093,40000
F0353,4.52488708496094,7.24192333221436,5.73244905471802,120000
F0355,9.28792572021484,14.8650007247925,11.7666063308716,24000
F0361,2.41935467720032,3.68411755561829,3.10211753845215,15000
F0365,5.26315784454346,8.42350006103516,6.66774320602417,10000
F0371,3.22580647468567,4.91215658187866,4.13615655899048,40000
F0372,2.68817186355591,4.09346389770508,3.44679713249207,40000
F0375,20,32.0093002319336,25.337423324585,48000
F0376,10,16.0046501159668,12.6687116622925,45000
F0378,2.99539160728455,4.56128835678101,3.84071683883667,30000
F0379,6.38807582855225,10.2238922119141,8.09286880493164,20000
F0381,18.4615383148193,29.547046661377,23.3883895874023,20000
F0385,4.52488708496094,7.24192333221436,5.73244905471802,25000
F0389,4.25101184844971,6.80359649658203,5.38548469543457,23000
F0394,4.69892072677612,7.52045869827271,5.9529275894165,20000
F0395,3.65471625328064,5.84924554824829,4.63005447387695,120000
F0397,4.07239818572998,6.51773071289063,5.15920352935791,45000
F0398,3.22580647468567,4.91215658187866,4.13615655899048,20000
F0405,3.22580647468567,4.91215658187866,4.13615655899048,18000
F0406,3.39366507530212,5.43144226074219,4.29933643341064,38000
F0407,4.35085296630859,6.96338796615601,5.51197052001953,20000
F0410,4.60526323318481,7.37056255340576,5.8342752456665,11000
F0413,2.26244354248047,3.62096166610718,2.86622452735901,30000
F0418,4.00278472900391,6.40631723403931,5.07101249694824,30000
F0420,3.6199095249176,5.79353857040405,4.58595895767212,10000
F0421,3.65471625328064,5.84924554824829,4.63005447387695,50000
F0422,4.35085296630859,6.96338796615601,5.51197052001953,56000
F0423,3.67647051811218,5.88406229019165,4.65761470794678,37000
F0424,4.85829925537109,7.77553844451904,6.15483951568604,15500
F0425,5.04698896408081,8.07752990722656,6.39388513565063,30000
F0427,16.25,26.0075569152832,20.5866565704346,15000
F0429,16.153844833374,25.8536643981934,20.4648418426514,50000
F0433,5.0904974937439,8.14716339111328,6.44900512695313,30000
F0435,3.82875061035156,6.1277813911438,4.85053396224976,15000
F0436,4.12563180923462,6.60293006896973,5.22664451599121,20000
F0441,4.35085296630859,6.96338796615601,5.51197052001953,18000
F0443,16.153844833374,25.8536643981934,20.4648418426514,15000
F0450,4.60526323318481,7.37056255340576,5.8342752456665,12000
F0452,5.87044525146484,9.39544296264648,7.43709850311279,43000
F0459,4.45344161987305,7.12757778167725,5.64193677902222,22000
F0461,4.12563180923462,6.60293006896973,5.22664451599121,30000
F0464,4.24208116531372,6.78930282592773,5.37417078018188,20000
F0466,5.04698896408081,8.07752990722656,6.39388513565063,15000
F0467,2.41935467720032,3.68411755561829,3.10211753845215,80000
F0471,5.72755432128906,9.16675090789795,7.25607347488403,40000
F0475,4.21052646636963,6.73880052566528,5.33419466018677,15000
F0479,3.22580647468567,4.91215658187866,4.13615655899048,20000
F0481,4.24208116531372,6.78930282592773,5.37417078018188,15000
F0482,23.0769233703613,36.9338073730469,29.2354888916016,40000
F0485,18.235294342041,29.1849498748779,23.1017684936523,20000
F0489,3.22580647468567,4.91215658187866,4.13615655899048,20000
F0490,16.153844833374,25.8536643981934,20.4648418426514,15000
F0494,3.39366507530212,5.43144226074219,4.29933643341064,15000
F0495,2.68817186355591,4.09346389770508,3.44679713249207,50000
F0499,2.68817186355591,4.09346389770508,3.44679713249207,20000
F0502,4.85829925537109,7.77553844451904,6.15483951568604,83330
F0503,5.98882055282593,9.58489799499512,7.58706474304199,14000
F0505,2.26244354248047,3.62096166610718,2.86622452735901,28600
