"","ID_firm_anonym","end_G17"
"1166","F4981",15000
"1167","F4983",150000
"1168","F4987",25000
"1169","F4988",25000
"1170","F4992",65000
"1171","F4994",170000
"1172","F4996",3e+05
"1173","F4997",75000
"1174","F5001",50000
"1175","F5004",3e+05
"1176","F5006",30000
"1177","F5007",22500
"1178","F5016",9000
"1179","F5019",20000
"1180","F5026",6000
"1181","F5050",40000
"1182","F5052",90000
"1183","F5054",32000
"1184","F5057",85000
"1185","F5058",40000
"1186","F5065",50000
"1187","F5075",60000
"1188","F5083",10000
"1189","F5085",10000
"1190","F5091",20000
"1191","F5110",15000
"1192","F5112",15000
"1193","F5115",9000
"1194","F5122",1e+05
"1195","F5126",20000
"1196","F5138",50000
"1197","F5140",50000
"1198","F5141",50000
"1199","F5158",50000
"1200","F5167",50000
"1201","F5176",20000
"1202","F5179",2e+05
"1203","F5185",32000
"1204","F5192",20000
"1205","F5197",60000
"1206","F5199",1e+05
"1207","F5201",60000
"1208","F5206",80000
"1209","F5211",60000
"1210","F5213",49000
"1211","F5215",120000
"1212","F5216",40000
"1213","F5217",2e+05
"1214","F5223",70000
"1215","F5224",8000
"1216","F5227",90000
"1217","F5228",36000
"1218","F5237",30000
"1219","F5258",0
"1220","F5259",33000
"1221","F5261",15000
"1222","F5263",250000
"1223","F5265",150000
"1224","F5267",25000
"1225","F5268",35000
"1226","F5272",30000
"1227","F5273",20000
"1228","F5275",15000
"1229","F5279",0
"1230","F5281",1e+05
"1231","F5287",6000
"1232","F5288",150000
"1233","F5292",1e+05
"1234","F5298",8000
"1235","F5300",15000
"1236","F5308",18000
"1237","F5311",15000
"1238","F5312",150000
"1239","F5314",25000
"1240","F5323",30000
"1241","F5324",48000
"1242","F5325",150000
"1243","F5327",36000
"1244","F5328",35000
"1245","F5330",36000
"1246","F5336",12170
"1247","F5345",15000
"1248","F5352",5000
"1249","F5353",77000
"1250","F5358",150000
"1251","F5368",50000
"1252","F5378",30000
"1253","F5381",24000
"1254","F5384",0
"1255","F5386",15000
"1256","F5389",30000
"1257","F5390",2e+05
"1258","F5398",50000
"1259","F5403",4000
"1260","F5413",12000
"1261","F5414",87000
"1262","F5417",20000
"1263","F5419",0
"1264","F5425",10000
"1265","F5426",4e+05
"1266","F5431",40000
"1267","F5432",5000
"1268","F5443",5000
"1269","F5445",20000
"1270","F5447",350000
"1271","F5449",0
"1272","F5459",15000
"1273","F5460",80000
"1274","F5480",15000
"1275","F5481",80000
"1276","F5483",5000
"1277","F5486",170000
"1278","F5491",30000
"1279","F5493",20000
"1280","F5494",30000
"1281","F5495",6000
"1282","F5501",10000
"1283","F5503",50000
"1284","F5504",5000
"1285","F5509",60000
"1286","F5510",2e+05
"1287","F5511",86000
"1288","F5517",5000
"1289","F5518",25000
"1290","F5531",8000
"1291","F5536",20000
"1292","F5539",158000
"1293","F5547",40000
"1294","F5548",20000
"1295","F5554",5000
"1296","F5556",120000
"1297","F5561",60000
"1298","F5565",150000
"1299","F5569",180000
"1300","F5572",50000
"1301","F5578",4e+05
"1302","F5581",35000
"1303","F5587",6000
"1304","F5589",104000
"1305","F5594",180000
"1306","F5600",-50000
"1307","F5601",25000
"1308","F5605",3000
"1309","F5611",8000
"1310","F5613",16500
"1311","F5615",18000
"1312","F5621",3e+05
"1313","F5622",38000
"1314","F5624",44000
"1315","F5625",1e+05
"1316","F5628",30000
"1317","F5630",60000
"1318","F5653",20000
"1319","F5662",204000
"1320","F5669",10000
"1321","F5673",6000
"1322","F5675",90000
"1323","F5683",18000
"1324","F5684",0
"1325","F5687",-15000
"1326","F5688",50000
"1327","F5690",30000
"1328","F5698",4000
"1329","F5702",1e+05
"1330","F5707",50000
